id,concept,hit
0,conceptnet:capitalized:1837,0
1,conceptnet:botany:1212,0
2,conceptnet:draw_attention:1896,0
3,conceptnet:patient:1545,0
4,conceptnet:anaerophyte:1797,0
5,conceptnet:biology:1234,0
6,conceptnet:garage:1419,0
7,dinner.n.01,0
8,conceptnet:robovirus:1723,0
9,conceptnet:support:1271,0
10,archduke.n.01,0
11,conceptnet:plebeian:1481,0
12,conceptnet:base:1287,0
13,conceptnet:atlas:1728,0
14,conceptnet:front:1264,1
15,plaything.n.01,0
16,conceptnet:wave_hair:1880,1
17,pole.n.06,0
18,conceptnet:pray:1677,1
19,conceptnet:steeple:1724,0
20,conceptnet:geography:1277,0
21,gastropod.n.01,0
22,conceptnet:bridesman:1722,1
23,conceptnet:charge:1345,0
24,conceptnet:cow:1252,0
25,conceptnet:anatomy:1205,0
26,conceptnet:floor:1306,0
27,conceptnet:ity:1808,0
28,conceptnet:container:1283,0
29,conceptnet:fill:1348,0
30,conceptnet:geology:1296,0
31,conceptnet:fridge:1399,0
32,conceptnet:resturant:1505,0
33,conceptnet:container:1283,0
34,conceptnet:suitcase:1538,0
35,conceptnet:grow:1456,0
36,conceptnet:complex:1469,0
37,periapsis.n.01,0
38,conceptnet:astrology:1434,0
39,conceptnet:education:1604,0
40,assembly.n.05,0
41,palm.n.01,0
42,conceptnet:tennis:1459,0
43,conceptnet:dessert:1363,0
44,namibia.n.01,0
45,conceptnet:aviation:1330,0
46,paring.n.01,0
47,conceptnet:country:1215,0
48,conceptnet:fly:1244,0
49,suspension_bridge.n.01,0
50,conceptnet:safety:1789,0
51,conceptnet:rail_transport:1557,0
52,conceptnet:cabinet:1452,0
53,conceptnet:country:1215,0
54,conceptnet:internet:1288,0
55,conceptnet:textiles:1663,0
56,conceptnet:heraldry:1664,0
57,leatherjacket.n.03,0
58,fiber.n.03,0
59,conceptnet:mug:1687,0
60,conceptnet:dentist:1541,0
61,conceptnet:glass:1285,0
62,adornment.n.01,0
63,nutriment.n.01,0
64,fiber.n.03,0
65,causal_agent.n.01,0
66,mechanical_device.n.01,0
67,conceptnet:video_games:1435,0
68,escort.n.03,0
69,aristocrat.n.01,0
70,conceptnet:walk:1310,0
71,domestic.n.01,0
72,california.n.01,0
73,conceptnet:eat_vegetables:1785,0
74,back.n.01,1
75,swing.n.02,0
76,specialist.n.01,0
77,lady.n.03,1
78,lady.n.03,0
79,conceptnet:surface_of_earth:1455,0
80,conceptnet:programming:1495,0
81,conceptnet:country:1215,0
82,groomsman.n.01,0
83,conceptnet:garage:1419,0
84,conceptnet:good:1470,0
85,conceptnet:horse_racing:1846,0
86,conceptnet:iron_clothes:1883,0
87,disposable.n.01,0
88,conceptnet:market:1377,0
89,rust.n.04,0
90,cape.n.01,0
91,vine.n.01,0
92,conceptnet:closet:1314,0
93,gelatin.n.02,0
94,breakfast.n.01,0
95,cubbyhole.n.01,0
96,conceptnet:fishing:1460,0
97,conceptnet:nonstandard:1406,0
98,specialist.n.01,0
99,cub.n.03,0
100,conceptnet:reception_area:1780,0
101,conceptnet:apartment:1412,0
102,latissimus_dorsi.n.01,0
103,conceptnet:shop:1327,0
104,foal.n.01,0
105,conceptnet:kiss:1754,0
106,conceptnet:entertainment:1601,1
107,lamb.n.01,0
108,conceptnet:good:1470,0
109,agent.n.03,0
110,igniter.n.01,0
111,conceptnet:living:1260,0
112,conceptnet:film:1461,0
113,aristocrat.n.01,0
114,victoria.n.03,0
115,elected_official.n.01,0
116,conceptnet:subway:1925,0
117,adornment.n.01,0
118,arbovirus.n.01,0
119,conceptnet:office:1227,0
120,conceptnet:tennis:1459,0
121,location.n.01,0
122,conceptnet:geology:1296,0
123,conceptnet:market:1377,0
124,tom.n.02,0
125,conceptnet:horse_racing:1846,0
126,bunt.n.03,1
127,conceptnet:fly:1244,0
128,herb.n.01,0
129,filet.n.03,0
130,rust.n.04,0
131,rust.n.04,0
132,conceptnet:bookstore:1776,0
133,conceptnet:floor:1306,0
134,causal_agent.n.01,0
135,italy.n.01,0
136,conceptnet:sewing:1632,1
