layer,relation,accuracy,n
0,HasContext,0.0000,44
0,CapableOf,0.0000,43
0,Antonym,0.0000,41
0,AtLocation,0.0000,45
0,SimilarTo,0.0238,42
0,UsedFor,0.0244,41
1,HasContext,0.0227,44
1,CapableOf,0.1163,43
1,Antonym,0.0244,41
1,AtLocation,0.0222,45
1,SimilarTo,0.0000,42
1,UsedFor,0.0000,41
2,HasContext,0.0227,44
2,CapableOf,0.1163,43
2,Antonym,0.0000,41
2,AtLocation,0.0000,45
2,SimilarTo,0.0000,42
2,UsedFor,0.0000,41
3,HasContext,0.0227,44
3,CapableOf,0.0465,43
3,Antonym,0.0244,41
3,AtLocation,0.0000,45
3,SimilarTo,0.0000,42
3,UsedFor,0.0000,41
4,HasContext,0.0227,44
4,CapableOf,0.0000,43
4,Antonym,0.0244,41
4,AtLocation,0.0000,45
4,SimilarTo,0.0000,42
4,UsedFor,0.0000,41
