id,concept,hit
0,conceptnet:capitalized:1837,0
1,conceptnet:botany:1212,1
2,conceptnet:draw_attention:1896,0
3,conceptnet:patient:1545,0
4,conceptnet:anaerophyte:1797,1
5,conceptnet:biology:1234,1
6,conceptnet:bar:1219,0
7,conceptnet:garage:1419,0
8,dinner.n.01,0
9,conceptnet:robovirus:1723,0
10,conceptnet:support:1271,0
11,archduke.n.01,1
12,conceptnet:plebeian:1481,0
13,conceptnet:base:1287,0
14,conceptnet:atlas:1728,0
15,plaything.n.01,1
16,conceptnet:wave_hair:1880,1
17,pole.n.06,0
18,conceptnet:steeple:1724,0
19,conceptnet:geography:1277,0
20,gastropod.n.01,0
21,conceptnet:charge:1345,0
22,conceptnet:cow:1252,0
23,conceptnet:anatomy:1205,0
24,conceptnet:floor:1306,0
25,conceptnet:ity:1808,0
26,conceptnet:container:1283,0
27,conceptnet:fill:1348,0
28,conceptnet:geology:1296,0
29,conceptnet:fridge:1399,0
30,conceptnet:resturant:1505,0
31,conceptnet:container:1283,0
32,conceptnet:suitcase:1538,0
33,conceptnet:grow:1456,0
34,conceptnet:complex:1469,0
35,periapsis.n.01,0
36,conceptnet:astrology:1434,0
37,conceptnet:education:1604,0
38,assembly.n.05,0
39,palm.n.01,0
40,conceptnet:tennis:1459,0
41,conceptnet:dessert:1363,0
42,namibia.n.01,0
43,conceptnet:aviation:1330,0
44,paring.n.01,0
45,conceptnet:country:1215,0
46,conceptnet:fly:1244,0
47,suspension_bridge.n.01,0
48,conceptnet:safety:1789,0
49,conceptnet:rail_transport:1557,0
50,conceptnet:cabinet:1452,0
51,conceptnet:country:1215,0
52,conceptnet:internet:1288,0
53,conceptnet:textiles:1663,0
54,conceptnet:heraldry:1664,0
55,leatherjacket.n.03,0
56,fiber.n.03,0
57,conceptnet:mug:1687,0
58,conceptnet:dentist:1541,0
59,adornment.n.01,0
60,nutriment.n.01,0
61,fiber.n.03,0
62,causal_agent.n.01,0
63,mechanical_device.n.01,0
64,escort.n.03,0
65,aristocrat.n.01,0
66,conceptnet:walk:1310,0
67,domestic.n.01,0
68,california.n.01,0
69,conceptnet:eat_vegetables:1785,0
70,conceptnet:container:1283,0
71,swing.n.02,0
72,specialist.n.01,0
73,lady.n.03,1
74,lady.n.03,0
75,conceptnet:surface_of_earth:1455,0
76,conceptnet:programming:1495,0
77,jewelry.n.01,1
78,conceptnet:country:1215,0
79,groomsman.n.01,0
80,conceptnet:garage:1419,0
81,conceptnet:good:1470,0
82,conceptnet:horse_racing:1846,0
83,conceptnet:iron_clothes:1883,0
84,disposable.n.01,0
85,conceptnet:market:1377,0
86,rust.n.04,0
87,cape.n.01,0
88,vine.n.01,0
89,conceptnet:closet:1314,0
90,gelatin.n.02,0
91,conceptnet:castle:1301,1
92,breakfast.n.01,0
93,cubbyhole.n.01,0
94,conceptnet:fishing:1460,0
