layer,relation,accuracy,n
0,HasContext,0.0000,44
0,CapableOf,0.0000,42
0,Antonym,0.0000,40
0,AtLocation,0.0698,43
0,SimilarTo,0.0227,44
0,UsedFor,0.0244,41
1,HasContext,0.0682,44
1,CapableOf,0.0238,42
1,Antonym,0.0250,40
1,AtLocation,0.0000,43
1,SimilarTo,0.0000,44
1,UsedFor,0.0244,41
2,HasContext,0.0455,44
2,CapableOf,0.0714,42
2,Antonym,0.0250,40
2,AtLocation,0.0233,43
2,SimilarTo,0.0000,44
2,UsedFor,0.0244,41
3,HasContext,0.0909,44
3,CapableOf,0.0952,42
3,Antonym,0.0000,40
3,AtLocation,0.0233,43
3,SimilarTo,0.0227,44
3,UsedFor,0.0732,41
4,HasContext,0.0455,44
4,CapableOf,0.0476,42
4,Antonym,0.0000,40
4,AtLocation,0.0233,43
4,SimilarTo,0.0455,44
4,UsedFor,0.0488,41
