condition,density_percent,sampling_strategy,seed,n_final_omitted,n_usable_probe_triples,best_layer,best_layer_accuracy,embedding_layer_accuracy,final_layer,final_layer_accuracy,result_dir
low_40,40,coverage,42,106,106,1,0.2642,0.0377,4,0.2547,evaluation/masked_language_probing/results/graph_density_strict_entity/low_40_seed_42_model_multilingual_strict_probe
low_40,40,coverage,43,87,87,3,0.2989,0.0345,4,0.2759,evaluation/masked_language_probing/results/graph_density_strict_entity/low_40_seed_43_model_multilingual_strict_probe
low_40,40,coverage,44,73,73,3,0.3288,0.0548,4,0.2877,evaluation/masked_language_probing/results/graph_density_strict_entity/low_40_seed_44_model_multilingual_strict_probe
low_40_relation,40,relation,42,166,166,3,0.1807,0.0241,4,0.1566,evaluation/masked_language_probing/results/graph_density_strict_entity/low_40_relation_seed_42_model_multilingual_strict_probe
low_40_relation,40,relation,43,171,171,2,0.1754,0.0175,4,0.1579,evaluation/masked_language_probing/results/graph_density_strict_entity/low_40_relation_seed_43_model_multilingual_strict_probe
low_40_relation,40,relation,44,169,169,3,0.4852,0.0296,4,0.4142,evaluation/masked_language_probing/results/graph_density_strict_entity/low_40_relation_seed_44_model_multilingual_strict_probe
medium_60_full,60,coverage,42,90,90,1,0.2111,0.0222,4,0.1778,evaluation/masked_language_probing/results/graph_density_strict_entity/medium_60_full_seed_42_model_multilingual_strict_probe
medium_60_full,60,coverage,43,64,64,3,0.4844,0.0625,4,0.4688,evaluation/masked_language_probing/results/graph_density_strict_entity/medium_60_full_seed_43_model_multilingual_strict_probe
medium_60_full,60,coverage,44,74,74,3,0.3378,0.0541,4,0.3108,evaluation/masked_language_probing/results/graph_density_strict_entity/medium_60_full_seed_44_model_multilingual_strict_probe
medium_60_relation,60,relation,42,249,249,3,0.4659,0.0321,4,0.4578,evaluation/masked_language_probing/results/graph_density_strict_entity/medium_60_relation_seed_42_model_multilingual_strict_probe
medium_60_relation,60,relation,43,247,247,3,0.4737,0.0243,4,0.4575,evaluation/masked_language_probing/results/graph_density_strict_entity/medium_60_relation_seed_43_model_multilingual_strict_probe
medium_60_relation,60,relation,44,236,236,3,0.589,0.0254,4,0.4788,evaluation/masked_language_probing/results/graph_density_strict_entity/medium_60_relation_seed_44_model_multilingual_strict_probe
high_80_full,80,coverage,42,94,94,3,0.5106,0.0426,4,0.4787,evaluation/masked_language_probing/results/graph_density_strict_entity/high_80_full_seed_42_model_multilingual_strict_probe
high_80_full,80,coverage,43,49,49,2,0.7755,0.0816,4,0.6939,evaluation/masked_language_probing/results/graph_density_strict_entity/high_80_full_seed_43_model_multilingual_strict_probe
high_80_full,80,coverage,44,46,46,2,0.6957,0.087,4,0.6957,evaluation/masked_language_probing/results/graph_density_strict_entity/high_80_full_seed_44_model_multilingual_strict_probe
high_80_relation,80,relation,42,208,208,3,0.7356,0.0144,4,0.7019,evaluation/masked_language_probing/results/graph_density_strict_entity/high_80_relation_seed_42_model_multilingual_strict_probe
high_80_relation,80,relation,43,209,209,2,0.7321,0.0287,4,0.6842,evaluation/masked_language_probing/results/graph_density_strict_entity/high_80_relation_seed_43_model_multilingual_strict_probe
high_80_relation,80,relation,44,213,213,2,0.6197,0.0141,4,0.5915,evaluation/masked_language_probing/results/graph_density_strict_entity/high_80_relation_seed_44_model_multilingual_strict_probe
full_graph,100,coverage,42,152,152,3,0.8618,0.0395,4,0.8224,evaluation/masked_language_probing/results/graph_density_strict_entity/full_graph_seed_42_model_multilingual_strict_probe
full_graph,100,coverage,43,165,165,2,0.8,0.0303,4,0.7879,evaluation/masked_language_probing/results/graph_density_strict_entity/full_graph_seed_43_model_multilingual_strict_probe
full_graph,100,coverage,44,192,192,4,0.7656,0.0312,4,0.7656,evaluation/masked_language_probing/results/graph_density_strict_entity/full_graph_seed_44_model_multilingual_strict_probe
