metric,cond_A,acc_A,hits_A,cond_B,acc_B,hits_B,diff,p_fisher,p_z,significant_005
strict_concept_top1,high_P2,0.0180,5/278,high_P0,0.0360,10/278,-0.0180,9.4325e-01,9.0469e-01,NO
strict_concept_top1,low_P2,0.0576,16/278,high_P0,0.0360,10/278,+0.0216,1.5764e-01,1.1406e-01,NO
strict_concept_top1,mid_P2,0.0468,13/278,high_P0,0.0360,10/278,+0.0108,3.3554e-01,2.6144e-01,NO
strict_concept_top1,high_P5,0.0288,8/278,high_P0,0.0360,10/278,-0.0072,7.6333e-01,6.8411e-01,NO
strict_concept_top1,low_P5,0.0324,9/278,high_P0,0.0360,10/278,-0.0036,6.7912e-01,5.9229e-01,NO
strict_concept_top1,mid_P5,0.0468,13/278,high_P0,0.0360,10/278,+0.0108,3.3554e-01,2.6144e-01,NO
strict_concept_top1,high_P7,0.0468,13/278,high_P0,0.0360,10/278,+0.0108,3.3554e-01,2.6144e-01,NO
strict_concept_top1,low_P7,0.0396,11/278,high_P0,0.0360,10/278,+0.0036,5.0000e-01,4.1198e-01,NO
strict_concept_top1,mid_P7,0.0288,8/278,high_P0,0.0360,10/278,-0.0072,7.6333e-01,6.8411e-01,NO
strict_concept_top1,high_P10,0.0468,13/278,high_P0,0.0360,10/278,+0.0108,3.3554e-01,2.6144e-01,NO
strict_concept_top1,low_P10,0.0396,11/278,high_P0,0.0360,10/278,+0.0036,5.0000e-01,4.1198e-01,NO
strict_concept_top1,mid_P10,0.0216,6/278,high_P0,0.0360,10/278,-0.0144,8.9827e-01,8.4488e-01,NO
strict_token_top1,high_P2,0.0180,5/278,high_P0,0.0360,10/278,-0.0180,9.4325e-01,9.0469e-01,NO
strict_token_top1,low_P2,0.0576,16/278,high_P0,0.0360,10/278,+0.0216,1.5764e-01,1.1406e-01,NO
strict_token_top1,mid_P2,0.0432,12/278,high_P0,0.0360,10/278,+0.0072,4.1419e-01,3.3175e-01,NO
strict_token_top1,high_P5,0.0252,7/278,high_P0,0.0360,10/278,-0.0108,8.3764e-01,7.7004e-01,NO
strict_token_top1,low_P5,0.0252,7/278,high_P0,0.0360,10/278,-0.0108,8.3764e-01,7.7004e-01,NO
strict_token_top1,mid_P5,0.0432,12/278,high_P0,0.0360,10/278,+0.0072,4.1419e-01,3.3175e-01,NO
strict_token_top1,high_P7,0.0468,13/278,high_P0,0.0360,10/278,+0.0108,3.3554e-01,2.6144e-01,NO
strict_token_top1,low_P7,0.0324,9/278,high_P0,0.0360,10/278,-0.0036,6.7912e-01,5.9229e-01,NO
strict_token_top1,mid_P7,0.0288,8/278,high_P0,0.0360,10/278,-0.0072,7.6333e-01,6.8411e-01,NO
strict_token_top1,high_P10,0.0468,13/278,high_P0,0.0360,10/278,+0.0108,3.3554e-01,2.6144e-01,NO
strict_token_top1,low_P10,0.0288,8/278,high_P0,0.0360,10/278,-0.0072,7.6333e-01,6.8411e-01,NO
strict_token_top1,mid_P10,0.0216,6/278,high_P0,0.0360,10/278,-0.0144,8.9827e-01,8.4488e-01,NO
