metric,comparison_type,cond_A,acc_A,hits_A,cond_B,acc_B,hits_B,diff,p_fisher,p_z,significant_005
Linear Probing (Layer 4),Overlap Growth (Px vs P0),high_P2.5,0.5000,139/278,high_P0,0.3813,106/278,+0.1187,3.1063e-03,2.4090e-03,YES
Linear Probing (Layer 4),Overlap Growth (Px vs P0),high_P5,0.4317,120/278,high_P0,0.3813,106/278,+0.0504,1.3082e-01,1.1337e-01,NO
Linear Probing (Layer 4),Overlap Growth (Px vs P0),high_P7.5,0.5396,150/278,high_P0,0.3813,106/278,+0.1583,1.2333e-04,9.0639e-05,YES
Linear Probing (Layer 4),Overlap Growth (Px vs P0),high_P10,0.4245,118/278,high_P0,0.3813,106/278,+0.0432,1.7078e-01,1.4973e-01,NO
Linear Probing (Layer 4),Overlap Growth (Px vs P0),mid_P2.5,0.4532,126/278,mid_P0,0.3813,106/278,+0.0719,5.1073e-02,4.2708e-02,NO
Linear Probing (Layer 4),Overlap Growth (Px vs P0),mid_P5,0.3597,100/278,mid_P0,0.3813,106/278,-0.0216,7.3060e-01,7.0087e-01,NO
Linear Probing (Layer 4),Overlap Growth (Px vs P0),mid_P7.5,0.5252,146/278,mid_P0,0.3813,106/278,+0.1439,4.3782e-04,3.2757e-04,YES
Linear Probing (Layer 4),Overlap Growth (Px vs P0),mid_P10,0.4820,134/278,mid_P0,0.3813,106/278,+0.1007,1.0349e-02,8.2552e-03,YES
Linear Probing (Layer 4),Overlap Growth (Px vs P0),low_P2.5,0.4820,134/278,low_P0,0.3813,106/278,+0.1007,1.0349e-02,8.2552e-03,YES
Linear Probing (Layer 4),Overlap Growth (Px vs P0),low_P5,0.5432,151/278,low_P0,0.3813,106/278,+0.1619,8.8327e-05,6.4650e-05,YES
Linear Probing (Layer 4),Overlap Growth (Px vs P0),low_P7.5,0.5432,151/278,low_P0,0.3813,106/278,+0.1619,8.8327e-05,6.4650e-05,YES
Linear Probing (Layer 4),Overlap Growth (Px vs P0),low_P10,0.6007,167/278,low_P0,0.3813,106/278,+0.2194,1.6167e-07,1.1408e-07,YES
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P0,0.3813,106/278,high_P0,0.3813,106/278,+0.0000,5.3478e-01,5.0000e-01,NO
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P0,0.3813,106/278,mid_P0,0.3813,106/278,+0.0000,5.3478e-01,5.0000e-01,NO
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P2.5,0.4820,134/278,high_P2.5,0.5000,139/278,-0.0180,6.9460e-01,6.6428e-01,NO
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P2.5,0.4820,134/278,mid_P2.5,0.4532,126/278,+0.0288,2.7595e-01,2.4826e-01,NO
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P5,0.5432,151/278,high_P5,0.4317,120/278,+0.1115,5.4253e-03,4.2665e-03,YES
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P5,0.5432,151/278,mid_P5,0.3597,100/278,+0.1835,9.6602e-06,6.9223e-06,YES
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P7.5,0.5432,151/278,high_P7.5,0.5396,150/278,+0.0036,5.0000e-01,4.6609e-01,NO
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P7.5,0.5432,151/278,mid_P7.5,0.5252,146/278,+0.0180,3.6692e-01,3.3539e-01,NO
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P10,0.6007,167/278,high_P10,0.4245,118/278,+0.1762,2.2302e-05,1.6091e-05,YES
Linear Probing (Layer 4),Strategy Comparison (LOW vs Other),low_P10,0.6007,167/278,mid_P10,0.4820,134/278,+0.1187,3.2030e-03,2.4875e-03,YES
