layer,relation,accuracy,n
0,HasContext,0.0000,46
0,HasProperty,0.0000,45
0,SimilarTo,0.0213,47
0,AtLocation,0.0889,45
0,UsedFor,0.0222,45
0,CapableOf,0.0426,47
1,HasContext,0.1522,46
1,HasProperty,0.2667,45
1,SimilarTo,0.3830,47
1,AtLocation,0.2444,45
1,UsedFor,0.2000,45
1,CapableOf,0.4043,47
2,HasContext,0.1522,46
2,HasProperty,0.3111,45
2,SimilarTo,0.3404,47
2,AtLocation,0.2889,45
2,UsedFor,0.2667,45
2,CapableOf,0.3617,47
3,HasContext,0.1304,46
3,HasProperty,0.2000,45
3,SimilarTo,0.2340,47
3,AtLocation,0.2222,45
3,UsedFor,0.1556,45
3,CapableOf,0.2766,47
4,HasContext,0.0652,46
4,HasProperty,0.0889,45
4,SimilarTo,0.2128,47
4,AtLocation,0.1333,45
4,UsedFor,0.1333,45
4,CapableOf,0.2128,47
