layer,relation,accuracy,n
0,HasProperty,0.0625,48
0,HasContext,0.0000,45
0,SimilarTo,0.0213,47
0,AtLocation,0.0000,46
0,UsedFor,0.0213,47
0,CapableOf,0.0638,47
1,HasProperty,0.2708,48
1,HasContext,0.2667,45
1,SimilarTo,0.4468,47
1,AtLocation,0.3478,46
1,UsedFor,0.4468,47
1,CapableOf,0.3191,47
2,HasProperty,0.3958,48
2,HasContext,0.2889,45
2,SimilarTo,0.4255,47
2,AtLocation,0.4565,46
2,UsedFor,0.4468,47
2,CapableOf,0.4255,47
3,HasProperty,0.3750,48
3,HasContext,0.4667,45
3,SimilarTo,0.3404,47
3,AtLocation,0.5435,46
3,UsedFor,0.4681,47
3,CapableOf,0.5319,47
4,HasProperty,0.2708,48
4,HasContext,0.4667,45
4,SimilarTo,0.2553,47
4,AtLocation,0.4783,46
4,UsedFor,0.4681,47
4,CapableOf,0.3830,47
