layer,relation,accuracy,n
0,HasProperty,0.0000,45
0,HasContext,0.0000,47
0,SimilarTo,0.0000,46
0,AtLocation,0.0000,47
0,CapableOf,0.0833,48
1,HasProperty,0.3333,45
1,HasContext,0.4468,47
1,SimilarTo,0.4348,46
1,AtLocation,0.5106,47
1,CapableOf,0.4167,48
2,HasProperty,0.4444,45
2,HasContext,0.4468,47
2,SimilarTo,0.5000,46
2,AtLocation,0.5532,47
2,CapableOf,0.4583,48
3,HasProperty,0.3778,45
3,HasContext,0.4468,47
3,SimilarTo,0.5217,46
3,AtLocation,0.5957,47
3,CapableOf,0.4375,48
4,HasProperty,0.3556,45
4,HasContext,0.4255,47
4,SimilarTo,0.5652,46
4,AtLocation,0.5106,47
4,CapableOf,0.4167,48
