pair_id,group,selection_rank,condition,overlap_percent,synset,lemma,cjk_token,hiragana_token,cosine_distance
1,close_at_100,1,overlap_000,0,nettle.n.01,nettle,艑姭顑,てどがら,0.8676306456327438
1,close_at_100,1,overlap_025,25,nettle.n.01,nettle,艑姭顑,てどがら,0.8390493988990784
1,close_at_100,1,overlap_050,50,nettle.n.01,nettle,艑姭顑,てどがら,0.4740365743637085
1,close_at_100,1,overlap_075,75,nettle.n.01,nettle,艑姭顑,てどがら,0.6677896678447723
1,close_at_100,1,overlap_100,100,nettle.n.01,nettle,艑姭顑,てどがら,0.2712116241455078
2,close_at_100,2,overlap_000,0,muscular_structure.n.01,muscular structure,欋芋餵咝,てしふ,0.8892277181148529
2,close_at_100,2,overlap_025,25,muscular_structure.n.01,muscular structure,欋芋餵咝,てしふ,0.5432844758033752
2,close_at_100,2,overlap_050,50,muscular_structure.n.01,muscular structure,欋芋餵咝,てしふ,0.5884943008422852
2,close_at_100,2,overlap_075,75,muscular_structure.n.01,muscular structure,欋芋餵咝,てしふ,0.7686745077371597
2,close_at_100,2,overlap_100,100,muscular_structure.n.01,muscular structure,欋芋餵咝,てしふ,0.2824355363845825
3,close_at_100,3,overlap_000,0,conceptnet:colour:1346,colour,鎛伭,らせほゖご,0.700423538684845
3,close_at_100,3,overlap_025,25,conceptnet:colour:1346,colour,鎛伭,らせほゖご,0.6851780712604523
3,close_at_100,3,overlap_050,50,conceptnet:colour:1346,colour,鎛伭,らせほゖご,0.49267441034317017
3,close_at_100,3,overlap_075,75,conceptnet:colour:1346,colour,鎛伭,らせほゖご,0.37979453802108765
3,close_at_100,3,overlap_100,100,conceptnet:colour:1346,colour,鎛伭,らせほゖご,0.2953681945800781
4,close_at_100,4,overlap_000,0,wolfsbane.n.01,wolfsbane,鋸喼,ぺは,0.5559865534305573
4,close_at_100,4,overlap_025,25,wolfsbane.n.01,wolfsbane,鋸喼,ぺは,0.6768691539764404
4,close_at_100,4,overlap_050,50,wolfsbane.n.01,wolfsbane,鋸喼,ぺは,0.6889267861843109
4,close_at_100,4,overlap_075,75,wolfsbane.n.01,wolfsbane,鋸喼,ぺは,0.4320017099380493
4,close_at_100,4,overlap_100,100,wolfsbane.n.01,wolfsbane,鋸喼,ぺは,0.2980417013168335
5,close_at_100,5,overlap_000,0,anatomist.n.01,anatomist,鏏帔亡淂,ざゆけぁだご,0.667553186416626
5,close_at_100,5,overlap_025,25,anatomist.n.01,anatomist,鏏帔亡淂,ざゆけぁだご,0.6581095457077026
5,close_at_100,5,overlap_050,50,anatomist.n.01,anatomist,鏏帔亡淂,ざゆけぁだご,0.686204344034195
5,close_at_100,5,overlap_075,75,anatomist.n.01,anatomist,鏏帔亡淂,ざゆけぁだご,0.7424740493297577
5,close_at_100,5,overlap_100,100,anatomist.n.01,anatomist,鏏帔亡淂,ざゆけぁだご,0.30181992053985596
6,close_at_100,6,overlap_000,0,deliveryman.n.01,deliveryman,脕,ゖむざ,0.7603773921728134
6,close_at_100,6,overlap_025,25,deliveryman.n.01,deliveryman,脕,ゖむざ,0.9086074084043503
6,close_at_100,6,overlap_050,50,deliveryman.n.01,deliveryman,脕,ゖむざ,0.4628220200538635
6,close_at_100,6,overlap_075,75,deliveryman.n.01,deliveryman,脕,ゖむざ,0.5179086923599243
6,close_at_100,6,overlap_100,100,deliveryman.n.01,deliveryman,脕,ゖむざ,0.304943323135376
7,close_at_100,7,overlap_000,0,conceptnet:injury:1921,injury,欻抉勣,なぼんご,0.9296587258577347
7,close_at_100,7,overlap_025,25,conceptnet:injury:1921,injury,欻抉勣,なぼんご,0.5956770777702332
7,close_at_100,7,overlap_050,50,conceptnet:injury:1921,injury,欻抉勣,なぼんご,0.7451735734939575
7,close_at_100,7,overlap_075,75,conceptnet:injury:1921,injury,欻抉勣,なぼんご,0.6906716525554657
7,close_at_100,7,overlap_100,100,conceptnet:injury:1921,injury,欻抉勣,なぼんご,0.3070420026779175
8,close_at_100,8,overlap_000,0,appraiser.n.01,appraiser,鯗咁鄦,ぷた,0.8641567528247833
8,close_at_100,8,overlap_025,25,appraiser.n.01,appraiser,鯗咁鄦,ぷた,0.6541723012924194
8,close_at_100,8,overlap_050,50,appraiser.n.01,appraiser,鯗咁鄦,ぷた,0.6514594852924347
8,close_at_100,8,overlap_075,75,appraiser.n.01,appraiser,鯗咁鄦,ぷた,0.8407986462116241
8,close_at_100,8,overlap_100,100,appraiser.n.01,appraiser,鯗咁鄦,ぷた,0.3099794387817383
9,close_at_100,9,overlap_000,0,second_fiddle.n.01,second fiddle,閍褻喑錖,ぐっゔ,0.6548074781894684
9,close_at_100,9,overlap_025,25,second_fiddle.n.01,second fiddle,閍褻喑錖,ぐっゔ,0.8257962763309479
9,close_at_100,9,overlap_050,50,second_fiddle.n.01,second fiddle,閍褻喑錖,ぐっゔ,0.4846704602241516
9,close_at_100,9,overlap_075,75,second_fiddle.n.01,second fiddle,閍褻喑錖,ぐっゔ,0.5416764914989471
9,close_at_100,9,overlap_100,100,second_fiddle.n.01,second fiddle,閍褻喑錖,ぐっゔ,0.31020528078079224
10,close_at_100,10,overlap_000,0,salesman.n.01,salesman,鴢堚塏,ずじぞゐ,0.6924396753311157
10,close_at_100,10,overlap_025,25,salesman.n.01,salesman,鴢堚塏,ずじぞゐ,0.9793877210468054
10,close_at_100,10,overlap_050,50,salesman.n.01,salesman,鴢堚塏,ずじぞゐ,0.7719268351793289
10,close_at_100,10,overlap_075,75,salesman.n.01,salesman,鴢堚塏,ずじぞゐ,0.651054859161377
10,close_at_100,10,overlap_100,100,salesman.n.01,salesman,鴢堚塏,ずじぞゐ,0.3168267607688904
11,close_at_100,11,overlap_000,0,conceptnet:sea:1263,sea,儙壎澠,まがこぺ,0.806609183549881
11,close_at_100,11,overlap_025,25,conceptnet:sea:1263,sea,儙壎澠,まがこぺ,0.3943539261817932
11,close_at_100,11,overlap_050,50,conceptnet:sea:1263,sea,儙壎澠,まがこぺ,0.6145042181015015
11,close_at_100,11,overlap_075,75,conceptnet:sea:1263,sea,儙壎澠,まがこぺ,0.7340992093086243
11,close_at_100,11,overlap_100,100,conceptnet:sea:1263,sea,儙壎澠,まがこぺ,0.3171738386154175
12,close_at_100,12,overlap_000,0,ram.n.05,ram,嚴癳瘞鄜,だり,0.8962552398443222
12,close_at_100,12,overlap_025,25,ram.n.05,ram,嚴癳瘞鄜,だり,0.845344066619873
12,close_at_100,12,overlap_050,50,ram.n.05,ram,嚴癳瘞鄜,だり,0.7103415131568909
12,close_at_100,12,overlap_075,75,ram.n.05,ram,嚴癳瘞鄜,だり,0.7933552414178848
12,close_at_100,12,overlap_100,100,ram.n.05,ram,嚴癳瘞鄜,だり,0.3183128833770752
13,close_at_100,13,overlap_000,0,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.8060726821422577
13,close_at_100,13,overlap_025,25,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.6976736485958099
13,close_at_100,13,overlap_050,50,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.7450746893882751
13,close_at_100,13,overlap_075,75,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,1.086279772222042
13,close_at_100,13,overlap_100,100,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.31894004344940186
14,close_at_100,14,overlap_000,0,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.7679469585418701
14,close_at_100,14,overlap_025,25,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.9409509599208832
