group,rank,synset,lemma,cjk_token,hiragana_token,cosine_distance_100
close_at_100,1,nettle.n.01,nettle,艑姭顑,てどがら,0.2712116241455078
close_at_100,2,muscular_structure.n.01,muscular structure,欋芋餵咝,てしふ,0.2824355363845825
close_at_100,3,conceptnet:colour:1346,colour,鎛伭,らせほゖご,0.2953681945800781
close_at_100,4,wolfsbane.n.01,wolfsbane,鋸喼,ぺは,0.2980417013168335
close_at_100,5,anatomist.n.01,anatomist,鏏帔亡淂,ざゆけぁだご,0.30181992053985596
close_at_100,6,deliveryman.n.01,deliveryman,脕,ゖむざ,0.304943323135376
close_at_100,7,conceptnet:injury:1921,injury,欻抉勣,なぼんご,0.3070420026779175
close_at_100,8,appraiser.n.01,appraiser,鯗咁鄦,ぷた,0.3099794387817383
close_at_100,9,second_fiddle.n.01,second fiddle,閍褻喑錖,ぐっゔ,0.31020528078079224
close_at_100,10,salesman.n.01,salesman,鴢堚塏,ずじぞゐ,0.3168267607688904
close_at_100,11,conceptnet:sea:1263,sea,儙壎澠,まがこぺ,0.3171738386154175
close_at_100,12,ram.n.05,ram,嚴癳瘞鄜,だり,0.3183128833770752
close_at_100,13,conceptnet:castle:1301,castle,裵蛹箿滦,ふのなぜ,0.31894004344940186
close_at_100,14,salesperson.n.01,salesperson,跦敖,ぁがぺわの,0.3194674253463745
close_at_100,15,double_knit.n.01,double knit,釃苐,とおいそ,0.3204694390296936
close_at_100,16,conceptnet:hammer:1463,hammer,蕢喩阐鶮,えら,0.3211803436279297
close_at_100,17,celestial_point.n.01,celestial point,鄐辝亼,たべ,0.3214554190635681
close_at_100,18,specialist.n.01,specialist,橇齦窌,すぃそ,0.3217233419418335
close_at_100,19,igbo.n.01,igbo,雁摯鳊忴,れほが,0.3245682120323181
close_at_100,20,conceptnet:fly:1244,fly,凄窰墬,ぶもゐぎ,0.3246060609817505
close_at_100,21,aconite.n.01,aconite,陝氪,みょた,0.3248865604400635
close_at_100,22,alga.n.01,alga,裷多,ぉうろ,0.32496732473373413
close_at_100,23,tapeworm.n.01,tapeworm,緂嘂微,べぜ,0.32851290702819824
close_at_100,24,conceptnet:astrology:1434,astrology,嗂翂徸,たば,0.33408212661743164
close_at_100,25,antacid.n.01,antacid,封,くきとぴ,0.3340963125228882
close_at_100,26,critic.n.02,critic,矌稹,しぼお,0.33763355016708374
close_at_100,27,jellyfish.n.02,jellyfish,緘脪卷,おな,0.33781105279922485
