layer,relation,accuracy,n
0,HasContext,0.0000,45
0,SimilarTo,0.0217,46
0,AtLocation,0.0833,48
0,UsedFor,0.0222,45
0,CapableOf,0.0652,46
1,HasContext,0.2667,45
1,SimilarTo,0.2609,46
1,AtLocation,0.2708,48
1,UsedFor,0.2889,45
1,CapableOf,0.3043,46
2,HasContext,0.2444,45
2,SimilarTo,0.2609,46
2,AtLocation,0.3333,48
2,UsedFor,0.2889,45
2,CapableOf,0.3043,46
3,HasContext,0.2222,45
3,SimilarTo,0.2391,46
3,AtLocation,0.2500,48
3,UsedFor,0.2889,45
3,CapableOf,0.3261,46
4,HasContext,0.2667,45
4,SimilarTo,0.1739,46
4,AtLocation,0.3125,48
4,UsedFor,0.1778,45
4,CapableOf,0.3478,46
