id,concept,hit
0,conceptnet:answer_telephone:1761,0
1,conceptnet:fly:1244,0
2,cub.n.03,0
3,conceptnet:eating:1257,0
4,conceptnet:dogs:1569,0
5,conceptnet:geology:1296,1
6,conceptnet:experience_pain:1894,0
7,nutriment.n.01,0
8,conceptnet:round:1259,0
9,conceptnet:charge:1345,0
10,conceptnet:boring:1627,0
11,conceptnet:gold:1464,0
12,conceptnet:cold:1392,0
13,conceptnet:play:1236,0
14,conceptnet:medicine_chest:1923,0
15,conceptnet:living:1260,0
16,conceptnet:draw_attention:1896,0
17,shelter.n.02,0
18,conceptnet:fill:1348,0
19,a_healthy,0
20,decoration.n.01,0
21,assembly.n.05,0
22,a_blue,0
23,young.n.01,0
24,a_flying,0
25,conceptnet:chair_committee:1758,0
26,conceptnet:good:1470,0
27,conceptnet:technology:1738,0
28,conceptnet:bitter:1643,0
29,conceptnet:chair_meeting:1683,0
30,small.n.01,1
31,conceptnet:disneyland:1695,0
32,water.n.06,0
33,conceptnet:bridge_river:1757,0
34,direction.n.01,0
35,a_flat,0
36,conceptnet:broadcasting:1771,0
37,a_strict,0
38,a_hot,0
39,organic.n.01,0
40,location.n.01,0
41,conceptnet:nuts:1772,0
42,conceptnet:sharp:1415,0
43,conceptnet:offer_solace:1901,0
44,conceptnet:shower:1631,0
45,conceptnet:coat_walls:1889,0
46,conceptnet:suitcase:1538,0
47,conceptnet:religion:1409,0
48,conceptnet:education:1604,0
49,conceptnet:cleaning:1626,0
50,conceptnet:subway:1925,0
51,conceptnet:shop:1327,1
52,conceptnet:coat_walls:1889,0
53,conceptnet:movie:1585,0
54,marking.n.02,0
55,plaything.n.01,0
56,conceptnet:round:1259,0
57,nutriment.n.01,0
58,conceptnet:education:1604,0
59,conceptnet:museum:1573,0
60,organic.n.01,0
61,conceptnet:container:1283,0
62,conceptnet:family:1246,0
63,conceptnet:offer_solace:1901,0
64,whole.n.02,0
65,food.n.01,0
66,conceptnet:cooking:1332,0
67,conceptnet:black:1298,0
68,conceptnet:cabinet:1452,0
69,conceptnet:desk:1266,0
70,conceptnet:pot:1245,0
71,conceptnet:music:1209,0
72,conceptnet:geology:1296,0
73,a_manbuilt,0
74,conceptnet:colour:1346,0
75,conceptnet:bitter:1643,0
76,conceptnet:old:1416,0
77,space.n.02,0
78,conceptnet:embroidery:1592,0
79,elected_official.n.01,0
80,a_red,0
81,street.n.03,0
82,a_flying,0
83,conceptnet:good:1470,0
84,conceptnet:bottom_of_sea:1537,0
85,protective_covering.n.01,0
86,paring.n.01,0
87,conceptnet:surface_of_earth:1455,0
88,conceptnet:chair_committee:1758,0
89,conceptnet:mean:1368,0
90,conceptnet:suitcase:1538,0
91,conceptnet:white:1268,0
92,conceptnet:drawer:1703,0
93,conceptnet:cabinet:1452,0
94,conceptnet:container:1283,0
95,workplace.n.01,0
96,repair:waiting_for_bus:12,0
97,conceptnet:cloud_judgement:1893,0
98,conceptnet:clean_house:1756,0
99,conceptnet:complex:1469,0
100,conceptnet:country:1215,0
101,nutriment.n.01,0
102,necessity.n.02,0
103,conceptnet:footwear:1861,0
104,conceptnet:market:1377,0
105,conceptnet:football:1483,0
106,a_strict,0
107,fiber.n.03,0
108,salad.n.01,0
109,conceptnet:reproduce:1565,0
110,conceptnet:white:1268,0
111,conceptnet:drive_train:1891,0
112,conceptnet:dentist:1541,0
113,conceptnet:gentleman:1395,0
114,conceptnet:captain_ship:1680,0
115,beverage.n.01,1
116,conceptnet:round:1259,0
117,a_healthy,0
118,conceptnet:fly:1244,0
119,plain.n.01,0
120,conceptnet:eat:1216,0
121,conceptnet:store:1251,0
122,a_healthy,0
123,conceptnet:cleaning:1626,0
124,conceptnet:good:1470,0
125,conceptnet:container:1283,0
126,rust.n.04,0
127,a_yellow,0
128,lady.n.03,0
129,conceptnet:hospital:1426,0
130,conceptnet:container:1283,0
131,conceptnet:television:1523,0
132,conceptnet:office:1227,0
133,conceptnet:complete_job:1902,0
134,conceptnet:iron_clothes:1883,0
135,conceptnet:make:1384,0
136,religious.n.01,0
137,swing.n.02,0
138,small.n.01,0
139,a_pointy,0
140,conceptnet:grow:1456,0
141,nutriment.n.01,0
142,conceptnet:fall_down:1621,0
143,conceptnet:mouth:1230,0
144,conceptnet:talk_on_phone:1897,0
145,decoration.n.01,0
146,conceptnet:safety:1789,0
147,conceptnet:office:1227,0
148,conceptnet:car:1371,0
149,conceptnet:end_of_line:1583,0
150,conceptnet:glass:1285,0
151,conceptnet:complex:1469,0
152,conceptnet:map:1420,0
153,a_acidic,0
154,conceptnet:sport:1527,0
155,conceptnet:top_of_mountain:1702,0
156,conceptnet:round:1259,0
157,conceptnet:horses:1768,0
158,conceptnet:round:1259,0
159,conceptnet:get_drunk:1529,0
160,liqueur.n.01,0
161,conceptnet:support:1271,0
162,conceptnet:country:1215,0
163,conceptnet:sharp:1415,0
164,conceptnet:entertainment:1601,0
165,conceptnet:living:1260,0
166,pocket.n.09,0
167,conceptnet:cloud_judgement:1893,0
168,conceptnet:crash:1654,0
169,adornment.n.01,0
170,conceptnet:box:1293,0
171,conceptnet:church:1303,0
172,topographic_point.n.01,0
173,conceptnet:cabinet:1452,0
174,conceptnet:fly:1244,0
175,conceptnet:bar:1219,0
176,rust.n.04,0
177,small.n.01,0
178,conceptnet:iron_clothes:1883,0
179,conceptnet:pray:1677,0
180,protective_covering.n.01,0
181,rust.n.04,0
182,a_harmful,0
183,conceptnet:floor:1306,0
184,conceptnet:garage:1419,0
185,conceptnet:bar:1219,0
186,conceptnet:a:1342,0
