id,concept,hit
0,conceptnet:answer_telephone:1761,0
1,arbovirus.n.01,0
2,conceptnet:rail:1554,0
3,conceptnet:chunk:1430,0
4,conceptnet:fly:1244,0
5,cub.n.03,0
6,conceptnet:chemistry:1254,0
7,conceptnet:experience_pain:1894,0
8,conceptnet:gymnastics:1665,0
9,conceptnet:art:1286,0
10,conceptnet:round:1259,0
11,conceptnet:botany:1212,0
12,conceptnet:charge:1345,0
13,conceptnet:boring:1627,0
14,conceptnet:astronomy:1240,0
15,conceptnet:cow:1252,1
16,conceptnet:gold:1464,0
17,conceptnet:cold:1392,0
18,conceptnet:automotive:1493,0
19,maid.n.01,0
20,aristocrat.n.01,0
21,conceptnet:pain:1424,1
22,conceptnet:medicine_chest:1923,0
23,conceptnet:draw_attention:1896,0
24,sir.n.02,0
25,conceptnet:groomsmaid:1942,0
26,shelter.n.02,0
27,conceptnet:empire_waist:1822,0
28,vine.n.01,0
29,a_healthy,0
30,a_blue,0
31,young.n.01,0
32,a_flying,0
33,conceptnet:chair_committee:1758,0
34,conceptnet:good:1470,0
35,conceptnet:technology:1738,0
36,conceptnet:bitter:1643,0
37,conceptnet:long:1458,0
38,conceptnet:chair_meeting:1683,0
39,conceptnet:disneyland:1695,0
40,conceptnet:geometry:1222,1
41,conceptnet:steeple:1724,0
42,conceptnet:bridge_river:1757,0
43,a_flat,0
44,a_strict,0
45,conceptnet:arts:1860,0
46,a_hot,0
47,south_africa.n.01,0
48,organic.n.01,0
49,conceptnet:softball:1844,0
50,location.n.01,0
51,conceptnet:nuts:1772,0
52,conceptnet:offer_solace:1901,0
53,conceptnet:coat_walls:1889,0
54,conceptnet:suitcase:1538,0
55,conceptnet:casserole:1653,0
56,conceptnet:geography:1277,0
57,cape.n.01,1
58,conceptnet:subway:1925,0
59,conceptnet:coat_walls:1889,0
60,meal.n.01,0
61,plaything.n.01,0
62,conceptnet:round:1259,0
63,conceptnet:scotland:1289,0
64,conceptnet:museum:1573,0
65,organic.n.01,0
66,conceptnet:family:1246,0
67,director.n.01,0
68,conceptnet:offer_solace:1901,0
69,whole.n.02,0
70,conceptnet:craftswoman:1798,0
71,conceptnet:us:1202,0
72,conceptnet:black:1298,0
73,conceptnet:cabinet:1452,0
74,conceptnet:desk:1266,0
75,conceptnet:pot:1245,0
76,a_manbuilt,0
77,conceptnet:law:1462,0
78,conceptnet:colour:1346,0
79,conceptnet:insurance:1561,0
80,conceptnet:cytology:1318,1
81,conceptnet:bitter:1643,0
82,conceptnet:largely:1843,0
83,conceptnet:old:1416,0
84,lamb.n.01,0
85,space.n.02,0
86,conceptnet:mouth:1230,0
87,elected_official.n.01,0
88,a_red,0
89,conceptnet:dialect:1331,0
90,conceptnet:internet_slang:1671,0
91,street.n.03,0
92,a_flying,0
93,vitamin.n.01,0
94,conceptnet:good:1470,0
95,conceptnet:bottom_of_sea:1537,0
96,conceptnet:embroidery:1592,0
97,conceptnet:surface_of_earth:1455,0
98,conceptnet:chair_committee:1758,0
99,bridesmaid.n.01,0
100,conceptnet:electronics:1381,0
101,conceptnet:mean:1368,0
102,conceptnet:suitcase:1538,0
103,conceptnet:white:1268,0
104,foal.n.01,0
105,conceptnet:drawer:1703,0
106,lord.n.03,1
107,prince.n.01,0
108,conceptnet:cabinet:1452,0
109,conceptnet:container:1283,0
110,workplace.n.01,0
111,vitamin.n.01,0
112,conceptnet:mycology:1840,0
113,conceptnet:cloud_judgement:1893,0
114,conceptnet:clean_house:1756,0
115,conceptnet:complex:1469,0
116,conceptnet:country:1215,0
117,expert.n.01,0
118,conceptnet:twine:1593,0
119,necessity.n.02,0
120,conceptnet:poker:1436,0
121,conceptnet:market:1377,0
122,conceptnet:football:1483,0
123,a_strict,0
124,tendon.n.01,0
125,conceptnet:reproduce:1565,0
126,conceptnet:white:1268,0
127,conceptnet:australian_rules_football:1839,0
128,conceptnet:drive_train:1891,0
129,conceptnet:dentist:1541,0
130,conceptnet:atlas:1728,0
131,cubbyhole.n.01,0
132,conceptnet:dialectal:1358,0
133,conceptnet:captain_ship:1680,0
134,conceptnet:round:1259,0
135,bunt.n.03,0
136,general.n.01,0
137,conceptnet:high_priestess:1820,0
138,a_healthy,0
139,conceptnet:fly:1244,0
140,plain.n.01,0
141,cub.n.03,0
142,conceptnet:eat:1216,0
