layer,relation,accuracy,n
0,CapableOf,0.0652,46
0,HasContext,0.0000,45
0,AtLocation,0.0217,46
0,UsedFor,0.0000,48
0,HasProperty,0.1042,48
1,CapableOf,0.3261,46
1,HasContext,0.3333,45
1,AtLocation,0.2826,46
1,UsedFor,0.3958,48
1,HasProperty,0.3542,48
2,CapableOf,0.2826,46
2,HasContext,0.4222,45
2,AtLocation,0.3696,46
2,UsedFor,0.5208,48
2,HasProperty,0.4167,48
3,CapableOf,0.3261,46
3,HasContext,0.4444,45
3,AtLocation,0.4348,46
3,UsedFor,0.4583,48
3,HasProperty,0.4375,48
4,CapableOf,0.3261,46
4,HasContext,0.4444,45
4,AtLocation,0.4348,46
4,UsedFor,0.4792,48
4,HasProperty,0.4375,48
