id,concept,hit
0,conceptnet:answer_telephone:1761,0
1,conceptnet:rail:1554,0
2,conceptnet:fly:1244,0
3,cub.n.03,0
4,conceptnet:eating:1257,0
5,conceptnet:dogs:1569,0
6,conceptnet:chemistry:1254,0
7,conceptnet:experience_pain:1894,0
8,nutriment.n.01,0
9,conceptnet:gymnastics:1665,0
10,conceptnet:round:1259,0
11,conceptnet:botany:1212,0
12,conceptnet:charge:1345,0
13,conceptnet:boring:1627,0
14,conceptnet:gold:1464,0
15,conceptnet:cold:1392,0
16,conceptnet:automotive:1493,0
17,conceptnet:play:1236,0
18,conceptnet:medicine_chest:1923,0
19,conceptnet:living:1260,0
20,conceptnet:draw_attention:1896,0
21,shelter.n.02,0
22,conceptnet:fill:1348,0
23,a_healthy,0
24,decoration.n.01,0
25,assembly.n.05,0
26,a_blue,0
27,young.n.01,0
28,a_flying,0
29,conceptnet:chair_committee:1758,0
30,conceptnet:good:1470,0
31,conceptnet:technology:1738,0
32,conceptnet:bitter:1643,0
33,conceptnet:chair_meeting:1683,0
34,small.n.01,1
35,conceptnet:disneyland:1695,0
36,water.n.06,0
37,conceptnet:geometry:1222,1
38,conceptnet:bridge_river:1757,0
39,direction.n.01,0
40,a_flat,0
41,conceptnet:cytology:1318,1
42,conceptnet:broadcasting:1771,0
43,a_strict,0
44,conceptnet:arts:1860,0
45,a_hot,0
46,south_africa.n.01,0
47,organic.n.01,0
48,conceptnet:softball:1844,0
49,location.n.01,0
50,conceptnet:nuts:1772,0
51,conceptnet:sharp:1415,0
52,conceptnet:offer_solace:1901,0
53,conceptnet:shower:1631,0
54,conceptnet:coat_walls:1889,0
55,conceptnet:suitcase:1538,0
56,conceptnet:religion:1409,0
57,conceptnet:geography:1277,0
58,conceptnet:education:1604,0
59,conceptnet:cleaning:1626,0
60,conceptnet:subway:1925,0
61,conceptnet:shop:1327,0
62,conceptnet:coat_walls:1889,0
63,conceptnet:movie:1585,0
64,marking.n.02,0
65,plaything.n.01,0
66,conceptnet:round:1259,0
67,nutriment.n.01,0
68,conceptnet:education:1604,0
69,conceptnet:scotland:1289,0
70,conceptnet:museum:1573,0
71,organic.n.01,0
72,conceptnet:container:1283,1
73,conceptnet:family:1246,0
74,conceptnet:offer_solace:1901,0
75,whole.n.02,0
76,conceptnet:cooking:1332,0
77,conceptnet:us:1202,0
78,conceptnet:black:1298,0
79,conceptnet:cooking:1332,0
80,conceptnet:cabinet:1452,0
81,conceptnet:desk:1266,0
82,conceptnet:pot:1245,0
83,conceptnet:music:1209,0
84,conceptnet:geology:1296,0
85,a_manbuilt,0
86,conceptnet:law:1462,0
87,conceptnet:colour:1346,0
88,conceptnet:insurance:1561,0
89,conceptnet:bitter:1643,0
90,conceptnet:largely:1843,0
91,conceptnet:old:1416,0
92,space.n.02,1
93,conceptnet:embroidery:1592,0
94,conceptnet:mouth:1230,1
95,elected_official.n.01,0
96,a_red,0
97,conceptnet:dialect:1331,0
98,conceptnet:internet_slang:1671,0
99,street.n.03,0
100,a_flying,0
101,vitamin.n.01,0
102,conceptnet:good:1470,0
103,conceptnet:bottom_of_sea:1537,0
104,protective_covering.n.01,0
105,paring.n.01,0
106,conceptnet:surface_of_earth:1455,0
107,conceptnet:chair_committee:1758,0
108,conceptnet:electronics:1381,0
109,conceptnet:mean:1368,0
110,conceptnet:suitcase:1538,0
111,conceptnet:white:1268,0
112,conceptnet:drawer:1703,0
113,conceptnet:cabinet:1452,0
114,conceptnet:container:1283,0
115,workplace.n.01,0
116,repair:waiting_for_bus:12,0
117,vitamin.n.01,0
118,conceptnet:mycology:1840,0
119,conceptnet:cloud_judgement:1893,0
120,conceptnet:clean_house:1756,0
121,conceptnet:complex:1469,0
122,conceptnet:country:1215,0
123,nutriment.n.01,0
124,necessity.n.02,0
125,conceptnet:poker:1436,0
126,conceptnet:footwear:1861,0
127,conceptnet:market:1377,0
128,conceptnet:football:1483,0
129,a_strict,0
130,fiber.n.03,0
131,salad.n.01,0
132,conceptnet:reproduce:1565,0
133,conceptnet:white:1268,0
134,conceptnet:australian_rules_football:1839,0
135,conceptnet:drive_train:1891,0
136,conceptnet:dentist:1541,0
137,conceptnet:gentleman:1395,1
138,conceptnet:war:1708,1
139,conceptnet:dialectal:1358,0
140,conceptnet:captain_ship:1680,0
141,conceptnet:round:1259,0
142,a_healthy,0
143,conceptnet:fly:1244,0
144,plain.n.01,0
145,conceptnet:eat:1216,0
146,conceptnet:store:1251,0
147,a_healthy,0
148,conceptnet:cleaning:1626,0
149,conceptnet:good:1470,0
150,conceptnet:rail:1554,0
151,conceptnet:container:1283,0
152,rust.n.04,0
153,a_yellow,0
154,lady.n.03,0
155,conceptnet:hospital:1426,0
156,conceptnet:container:1283,0
157,conceptnet:television:1523,0
