layer,relation,accuracy,n
0,CapableOf,0.0000,46
0,HasContext,0.0000,46
0,AtLocation,0.0000,47
0,UsedFor,0.0000,46
0,HasProperty,0.1020,49
1,CapableOf,0.5217,46
1,HasContext,0.3478,46
1,AtLocation,0.3404,47
1,UsedFor,0.4348,46
1,HasProperty,0.4082,49
2,CapableOf,0.5435,46
2,HasContext,0.5870,46
2,AtLocation,0.5319,47
2,UsedFor,0.5652,46
2,HasProperty,0.4694,49
3,CapableOf,0.4783,46
3,HasContext,0.5000,46
3,AtLocation,0.3830,47
3,UsedFor,0.5435,46
3,HasProperty,0.3469,49
4,CapableOf,0.4348,46
4,HasContext,0.3913,46
4,AtLocation,0.3830,47
4,UsedFor,0.5217,46
4,HasProperty,0.4082,49
