layer,relation,accuracy,n
0,CapableOf,0.0000,46
0,HasContext,0.0000,46
0,AtLocation,0.0000,47
0,UsedFor,0.0000,46
0,HasProperty,0.1020,49
1,CapableOf,0.1739,46
1,HasContext,0.2391,46
1,AtLocation,0.2553,47
1,UsedFor,0.1739,46
1,HasProperty,0.2449,49
2,CapableOf,0.2826,46
2,HasContext,0.3913,46
2,AtLocation,0.2979,47
2,UsedFor,0.3696,46
2,HasProperty,0.4490,49
3,CapableOf,0.3696,46
3,HasContext,0.3478,46
3,AtLocation,0.4043,47
3,UsedFor,0.4130,46
3,HasProperty,0.4694,49
4,CapableOf,0.3478,46
4,HasContext,0.2826,46
4,AtLocation,0.3404,47
4,UsedFor,0.3696,46
4,HasProperty,0.4286,49
