id,concept,hit
0,conceptnet:answer_telephone:1761,0
1,conceptnet:rail:1554,0
2,conceptnet:fly:1244,0
3,cub.n.03,0
4,conceptnet:eating:1257,0
5,conceptnet:dogs:1569,0
6,conceptnet:chemistry:1254,0
7,conceptnet:geology:1296,0
8,conceptnet:experience_pain:1894,0
9,nutriment.n.01,0
10,conceptnet:gymnastics:1665,0
11,conceptnet:round:1259,0
12,conceptnet:botany:1212,0
13,conceptnet:charge:1345,0
14,conceptnet:boring:1627,0
15,conceptnet:gold:1464,0
16,conceptnet:cold:1392,0
17,conceptnet:automotive:1493,0
18,conceptnet:play:1236,0
19,conceptnet:medicine_chest:1923,0
20,conceptnet:living:1260,0
21,conceptnet:draw_attention:1896,0
22,shelter.n.02,0
23,conceptnet:fill:1348,0
24,a_healthy,0
25,decoration.n.01,0
26,assembly.n.05,0
27,a_blue,0
28,young.n.01,0
29,a_flying,0
30,conceptnet:chair_committee:1758,0
31,conceptnet:good:1470,0
32,conceptnet:technology:1738,0
33,conceptnet:bitter:1643,0
34,conceptnet:chair_meeting:1683,0
35,small.n.01,1
36,conceptnet:disneyland:1695,0
37,water.n.06,0
38,conceptnet:bridge_river:1757,0
39,direction.n.01,0
40,a_flat,0
41,conceptnet:cytology:1318,0
42,conceptnet:broadcasting:1771,0
43,a_strict,0
44,conceptnet:arts:1860,0
45,a_hot,0
46,south_africa.n.01,0
47,organic.n.01,0
48,conceptnet:softball:1844,0
49,location.n.01,0
50,conceptnet:nuts:1772,0
51,conceptnet:sharp:1415,1
52,conceptnet:offer_solace:1901,0
53,conceptnet:shower:1631,0
54,conceptnet:coat_walls:1889,0
55,conceptnet:suitcase:1538,0
56,conceptnet:religion:1409,0
57,conceptnet:geography:1277,0
58,conceptnet:education:1604,1
59,conceptnet:cleaning:1626,0
60,conceptnet:subway:1925,0
61,conceptnet:shop:1327,0
62,conceptnet:coat_walls:1889,0
63,conceptnet:movie:1585,0
64,marking.n.02,0
65,plaything.n.01,0
66,conceptnet:round:1259,0
67,nutriment.n.01,1
68,conceptnet:education:1604,0
69,conceptnet:scotland:1289,0
70,conceptnet:museum:1573,0
71,organic.n.01,0
72,conceptnet:container:1283,0
73,conceptnet:family:1246,0
74,conceptnet:offer_solace:1901,0
75,whole.n.02,0
76,food.n.01,0
77,conceptnet:cooking:1332,0
78,conceptnet:us:1202,0
79,conceptnet:black:1298,0
80,conceptnet:cooking:1332,0
81,conceptnet:cabinet:1452,0
82,conceptnet:desk:1266,0
83,conceptnet:pot:1245,0
84,conceptnet:music:1209,0
85,conceptnet:geology:1296,0
86,a_manbuilt,0
87,conceptnet:law:1462,0
88,conceptnet:colour:1346,0
89,conceptnet:insurance:1561,0
90,conceptnet:cytology:1318,0
91,conceptnet:bitter:1643,0
92,conceptnet:largely:1843,0
93,conceptnet:old:1416,0
94,conceptnet:embroidery:1592,0
95,conceptnet:mouth:1230,0
96,elected_official.n.01,0
97,conceptnet:dialect:1331,0
98,conceptnet:internet_slang:1671,0
99,street.n.03,0
100,a_flying,0
101,conceptnet:entertainment:1601,1
102,vitamin.n.01,0
103,conceptnet:good:1470,0
104,conceptnet:bottom_of_sea:1537,0
105,protective_covering.n.01,0
106,paring.n.01,0
107,conceptnet:astronomy:1240,1
108,conceptnet:surface_of_earth:1455,0
109,conceptnet:chair_committee:1758,0
110,conceptnet:electronics:1381,0
111,conceptnet:mean:1368,0
112,conceptnet:suitcase:1538,0
113,conceptnet:white:1268,0
114,conceptnet:drawer:1703,0
115,conceptnet:cabinet:1452,0
116,conceptnet:container:1283,0
117,workplace.n.01,0
118,repair:waiting_for_bus:12,0
119,vitamin.n.01,0
120,conceptnet:mycology:1840,0
121,conceptnet:cloud_judgement:1893,0
122,conceptnet:clean_house:1756,0
123,conceptnet:complex:1469,0
124,conceptnet:country:1215,0
125,nutriment.n.01,0
126,necessity.n.02,0
127,conceptnet:poker:1436,0
128,conceptnet:footwear:1861,0
129,conceptnet:market:1377,0
130,conceptnet:football:1483,0
131,a_strict,0
132,fiber.n.03,0
133,salad.n.01,0
134,conceptnet:reproduce:1565,0
135,conceptnet:white:1268,0
136,conceptnet:australian_rules_football:1839,0
137,conceptnet:drive_train:1891,0
138,conceptnet:dentist:1541,0
139,conceptnet:gentleman:1395,0
140,conceptnet:dialectal:1358,0
141,conceptnet:captain_ship:1680,0
142,conceptnet:round:1259,0
143,a_healthy,0
144,conceptnet:fly:1244,0
145,plain.n.01,0
146,conceptnet:eat:1216,0
147,conceptnet:store:1251,0
148,a_healthy,0
149,conceptnet:cleaning:1626,0
150,conceptnet:good:1470,0
151,conceptnet:rail:1554,0
152,conceptnet:container:1283,0
153,rust.n.04,0
154,a_yellow,0
155,lady.n.03,0
156,conceptnet:hospital:1426,0
