layer,relation,accuracy,n
0,CapableOf,0.0000,47
0,SimilarTo,0.0000,45
0,HasContext,0.0000,46
0,AtLocation,0.0000,47
0,HasProperty,0.1064,47
1,CapableOf,0.3404,47
1,SimilarTo,0.4000,45
1,HasContext,0.3913,46
1,AtLocation,0.4681,47
1,HasProperty,0.3830,47
2,CapableOf,0.4255,47
2,SimilarTo,0.4889,45
2,HasContext,0.5870,46
2,AtLocation,0.5319,47
2,HasProperty,0.4681,47
3,CapableOf,0.4043,47
3,SimilarTo,0.4889,45
3,HasContext,0.5652,46
3,AtLocation,0.5319,47
3,HasProperty,0.4468,47
4,CapableOf,0.3830,47
4,SimilarTo,0.4222,45
4,HasContext,0.5217,46
4,AtLocation,0.4894,47
4,HasProperty,0.4043,47
