layer,relation,accuracy,n
0,CapableOf,0.0000,46
0,HasContext,0.0000,46
0,AtLocation,0.0000,47
0,UsedFor,0.0000,46
0,HasProperty,0.1020,49
1,CapableOf,0.3043,46
1,HasContext,0.1304,46
1,AtLocation,0.2766,47
1,UsedFor,0.2609,46
1,HasProperty,0.2857,49
2,CapableOf,0.3696,46
2,HasContext,0.1957,46
2,AtLocation,0.3191,47
2,UsedFor,0.3261,46
2,HasProperty,0.3878,49
3,CapableOf,0.3913,46
3,HasContext,0.4130,46
3,AtLocation,0.4255,47
3,UsedFor,0.5000,46
3,HasProperty,0.5306,49
4,CapableOf,0.3478,46
4,HasContext,0.3043,46
4,AtLocation,0.2766,47
4,UsedFor,0.4130,46
4,HasProperty,0.4898,49
