edge_id,source_lemma,relation,target_lemma,source_options,target_options,selected_source_synset,selected_target_synset,decision,notes
abdomen|RelatedTo|abdominal,abdomen,RelatedTo,abdominal,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,abdominal.n.01: the muscles of the abdomen,,,pending,
abdomen|RelatedTo|belly,abdomen,RelatedTo,belly,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || belly.n.02: a protruding abdomen || belly.n.05: the underpart of the body of certain vertebrates such as snakes or fish,,,pending,
abdomen|RelatedTo|crustacean,abdomen,RelatedTo,crustacean,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,crustacean.n.01: any mainly aquatic arthropod usually having a segmented body and chitinous exoskeleton,,,pending,
abdomen|RelatedTo|diaphragm,abdomen,RelatedTo,diaphragm,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,diaphragm.n.02: (anatomy) a muscular partition separating the abdominal and thoracic cavities; functions in respiration,,,pending,
abdomen|RelatedTo|posterior,abdomen,RelatedTo,posterior,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,buttocks.n.01: the fleshy part of the human body that you sit on,,,pending,
abdomen|RelatedTo|thorax,abdomen,RelatedTo,thorax,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,thorax.n.02: the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,,,pending,
abdomen|Synonym|belly,abdomen,Synonym,belly,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || belly.n.02: a protruding abdomen || belly.n.05: the underpart of the body of certain vertebrates such as snakes or fish,,,pending,
abdomen|Synonym|stomach,abdomen,Synonym,stomach,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis,,,pending,
abdominal|RelatedTo|abdomen,abdominal,RelatedTo,abdomen,abdominal.n.01: the muscles of the abdomen,abdomen.n.01: the region of the body of a vertebrate between the thorax and the pelvis || abdominal_cavity.n.01: the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,,,pending,
alight|MannerOf|land,alight,MannerOf,land,alight.v.02: come down,country.n.02: the territory occupied by a nation || domain.n.02: territory over which rule or control is exercised,,,pending,
aliment|RelatedTo|food,aliment,RelatedTo,food,nutriment.n.01: a source of materials to nourish the body,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
alimentation|RelatedTo|food,alimentation,RelatedTo,food,nutriment.n.01: a source of materials to nourish the body,food.n.01: any substance that can be metabolized by an animal to give energy and build tissue || food.n.02: any solid substance (as opposed to liquid) that is used as a source of nourishment,,,pending,
